"rating","titles","authors","location","date","tenure","recommends","pros","cons","adv_mgmt"
"5.0","""Great learning experience""","Current Employee - Data Analyst","Menlo Park, CA","2019-03-12","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookNo opinion of CEO","The company invests in its employees, lots of classes and resources.","large org issues -- politics, redundancy, communication",""
"5.0","""Fast paced company with high expectations, but incredibly fair. You won't a place that cares more about it's people.""","Current Employee - Anonymous Employee","Menlo Park, CA","2017-02-16","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","- Incredible benefits- Excellent compensation that rewards strong performance- Lots of autonomy- Tons of room for growth- Very transparent from the top down- Strong leadership- Intelligent and caring colleagues- The most fair and well thought out review process you will find everywhere- Exciting work","- If you don't learn to make the work life balance work for you, it can be exhausting. But you'll also be given lots of support with this if you ask for it.- It doesn't matter how good you are at your job, chances are you're going to be surrounded by a ton of other people who are just as good if not better. Imposter syndrome is real, but if you got an offer, you probably belong here too.","Keep doing what you're doing, keep an eye on employee burnout, keep supporting your people and keep pushing them, and the rest of the world, forward."
"5.0","""Pleasantly Surprised""","Current Employee - Site Selection Program Manager","Menlo Park, CA","2016-02-16","","RecommendsPositive OutlookApproves of CEO","I'm a 55 year old working in a company where the average age is 28, and I've never been happier. I have always wanted to work in a company where I wasn't the proverbial square peg, and after nearly 30 years in the work force, I believe that I have found the company that complements my ideology for how a company should operate. Here are the ""Pros"" as I see them...- Leadership: Mark Zuckerberg, Sheryl Sandberg, Chris Cox and the rest of the leadership team. Inspiring, smart and totally real.- The Culture: The openness is a real thing, we're trusted to do the right thing, mistakes are expected, being yourself is important and encouraged, humility is encouraged and expected, building trust is paramount, the mission of making the world a more open and connected place isn't just a cool phrase because it guides everything. It's not about us, it's about everyone else.- The People: Smart and nice is what I find. The diversity is better than any other company I've worked at and it's getting better. Those that are figuring out how to make what we do better for everyone are really good at implementing their ideas. Two years ago I didn't know what this company really was or if it had a secure future. I can clearly see now that they have what it takes to last, and it's sincere.- Management: Managers are hired because they're good managers and not because they're good at something else. The management track is different than the contributor track and they're equal in importance.- Benefits: Working in the Valley it's hard to differentiate all the benefits employees receive and Facebook is at least equal to all the major tech companies, but coming from Seattle the benefits are nothing short of incredible.Granted, I haven't been with the company for very long and I'm still in the honeymoon period, but I can tell what's real and what's not; this place is for real.","Like any tech company, the work is big and complicated so work/life balance can suffer from time to time. The difference is that it's the passion within the individuals that drives them to work long hours and forego time off. Of course there can be times when schedule demands force the imbalance, but it's not such that 10-12 hours days become commonplace and expected regardless. We do what we do to get the job done; no one is killing themselves because there's an order to do so.Being able to eat to your hearts/stomachs content can be dangerous to the waistline, but that's a self-control thing and not the company's issue.","Keep doing what you're doing and fight hard to not be complacent. I believe that humility is the key so don't ever lose that thinking. Your motives will always be suspect, but if you're able to look in the mirror everyday and know that your motives are pure, that's all that matters. Walking the talk is the best evidence there is."
"5.0","""Great place to work""","Current Employee - Technical Recruiter","Menlo Park, CA","2019-03-02","I have been working at Facebook full-time (More than 5 years)","RecommendsPositive OutlookApproves of CEO","- Great culture- Performance reviews are incentivized by the right things- Comp- Benefits + Perks","- Company size has gotten super large",""
"5.0","""Excellent company""","Current Employee - Communications Specialist","Menlo Park, CA","2019-03-01","I have been working at Facebook full-time (More than 5 years)","RecommendsPositive OutlookDisapproves of CEO","Free everything, Excellent pay, Good chance for career advancement, Great bonuses","80 hour work weeks, not much work/life balance, can't feel good about privacy issues","stop trying to take over the world"
"5.0","""Amazing, stressful company with the smartest folks""","Former Employee - Growth Marketing Analyst","Menlo Park, CA","2019-02-13","I worked at Facebook full-time","RecommendsPositive OutlookApproves of CEO","Smartest people, good benefits, beautiful office, great foodGreat place to learn from smart folks that have solid fundamentals in whatever trade you're trying to learnIt's a fun place to work. People hang out and go to lunch, lots of smiles going around.Awesome classes to pick up technical skillsBike shop on campusVery organized, great strategy and leadership and executionFeels like with the caliber of smart folks that fb hordes it will always be dominant.","Almost everybody there is stressed. Work life balance is bad.Competition to get a good review leads to extremely stressful environment for most folks I know.Rewards highly intelligent people that sometimes aren't very nice.Feels pretty cliquey and often like a popularity contest","Make work life balance a priority."
"5.0","""Best place to work!""","Current Employee - Content Strategist","Menlo Park, CA","2019-03-11","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Food, people, shuttle, benefits, etc.","Lots of meetings. Challenging to focus on completing tasks.",""
"5.0","""Incredible culture,amazing people""","Current Employee - Executive Assistant","Menlo Park, CA","2019-03-07","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Really care about their peopleEveryone has a voiceBest benefitsBest perks","No work life balance",""
"5.0","""Great company""","Former Employee - Anonymous Employee","Menlo Park, CA","2019-03-10","I worked at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Great pay, great people, great perks.","It's located in Menlo Park.....",""
"4.0","""Great place, but be prepared""","Current Employee - Event Coordinator","New York, NY","2019-03-18","I have been working at Facebook full-time (More than a year)","RecommendsPositive OutlookApproves of CEO","Great perks, like really great perksCompensationFree foodNice people","Little room for errorCan feel like a tiny person in a crowd of manyFinding work life balance can be hard","Increase diversity and hold managers accountable vs taking it out on their reports"
"5.0","""Good compensation, benefits, and work/life balance""","Current Employee - Social Media Marketing Manager","Menlo Park, CA","2019-02-24","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","I have been with Facebook for 3 years. The company works hard to look after its employees and provide them the best benefits and services. I have yet to see any layoffs. Even when jobs are eliminated Facebook provides assistance to find another position within the company. This is very different from my experience with Coca-Cola and CNN, both of which had regular large scale layoffs. Compensation is very good, especially for engineers. But It can be difficult to get an interview without an internal connection/referral.","I have had 6 managers in 3 years. Facebook has a lot of reorgs. And I am certain all of this change has hindered my career growth. Even though I have received top reviews I have not been able to achieve a promotion.Regarding the culture -- Generally everyone is great to work with and good at their job. However, there are a some people who seem unfamiliar with a professional work environment. These people can cause lots of drama and generally seem ungrateful for the tremendous opportunity we have at Facebook.It can be difficult to deal with all the attacks on the company from the press. When you see so many amazing people working hard to get things right, and the press only focuses on (predominately false) negative articles, it is hard not to get discouraged.","Be better advocates for your top performing employees. The awards, bonuses, and cross-functional recognition is great. But I need to see my level progressing as well."
"5.0","""Great place to work""","Current Employee - Recruiter","Menlo Park, CA","2019-03-06","I have been working at Facebook full-time (More than 5 years)","RecommendsPositive OutlookApproves of CEO","awesome culturegreat benefits/perksreally smart peoplechallenging and hard problems to solve","company is getting super large","don't like the size change the culture"
"5.0","""Good place to work""","Current Employee - Postdoctoral Research Scientist","Redmond, WA","2019-02-25","I have been working at Facebook full-time (More than a year)","RecommendsNeutral OutlookNo opinion of CEO","cool projects, cool people, amazing pay and benefits","you have to be able to deal with uncertainty typical of ever-changing research environment",""
"5.0","""Great culture, big startup company""","Current Employee - Software Engineering Manager","Menlo Park, CA","2019-02-24","I have been working at Facebook full-time (More than 5 years)","RecommendsNeutral OutlookApproves of CEO","The best company culture. Open, focused, friendly and people first.Here, your voice matters, you get to work on things that matter to you and the company. The company invest in you through many ways (many perks, training materials, PTOs, 4 months parental leave, etc.)During calibration you can see how everyone puts people to the top of their consideration.","The company is focused on connecting people, and is very very focused on this. So if you wanted to work on versatile of things like cloud system, self driving car, etc., it's unlikely you can find such work near term.You might need to adapt to the work life integration style here. Some teams are pretty busy, but not all teams are like that.","Keep up the open culture while making sure leaks don't happen too frequently. Let leaderships hear more from what frontline ICs and managers to understand what the company can do better. Many issues don't surface in weekly Mark Q&A because it's scary to ask some questions publicly."
"5.0","""Awesome workplace""","Current Employee - Product Specialist","Menlo Park, CA","2019-02-19","I have been working at Facebook full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Food, work life balance","Growth and Opportunities, Stressfull sometimes",""
