"rating","titles","authors","location","date","tenure","recommends","pros","cons","adv_mgmt"
"5.0","""Best Company Ever!""","Former Employee - Recruiter","Dallas, TX","2019-03-12","I worked at Korn Ferry full-time (More than 3 years)","RecommendsPositive OutlookApproves of CEO","Work Life Balance, Company Culture","None at this time, I loved my experience with the company","Keep doing a great job!"
"4.0","""Best Company/Team""","Current Employee - Senior Recruiter","Princeton, NJ","2019-03-15","I have been working at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookApproves of CEO","Work life balance. Collaborative Team. Great management. Ability to learn, but bring previous knowledge to the table","Training is a bit scattered, but you pick it up by doing the job","Keep up the good work"
"5.0","""Financial Discipline Make This Company Run well""","Current Employee - Senior Partner","New York, NY","2019-03-06","I have been working at Korn Ferry full-time (More than 8 years)","RecommendsPositive OutlookApproves of CEO","Financial measurement and clear expectations for performance","Only now beginning to practice what we preach: training for employees, coaching, etc.","Put clients equal to financial results."
"1.0","""Poor work/life balance, uncompetitive pay, and few pay raises""","Former Employee - Associate Consultant","Minneapolis, MN","2019-03-21","I worked at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNegative OutlookDisapproves of CEO","Flexible work hours, I worked with a great team, and never-ending learning opportunities","There is little-to-no hope of renegotiating your salary, and pay raises are rare. Management refuses to staff essential delivery teams effectively, making it impossible for members of those teams to meet client needs effectively","Remember that a company is people, not a balance sheet. When your people are overworked and under-appreciated, they make more mistakes, and over time grow to resent the company."
"1.0","""Horrible work life balance""","Current Employee - Anonymous Employee","","2019-03-07","I have been working at Korn Ferry full-time (More than 3 years)","Doesn't RecommendNeutral OutlookNo opinion of CEO","Decent vacation, ok benefits. Parental leave is solid. Mostly good coworkers.","KF notoriously works employees to the bone, ignoring long term employee health and satisfaction to put employees through the ringer. Expect to work long hours with very little acknowledgement, and have that be a very frequent issue. Everything is understaffed and then management wonders why everyone is working late and why there's a morale problem, dragging feet on hiring help. If you aren't a fan of working late into the night with no end in sight I'd avoid KF.","Client first doesn't mean putting employees last. You'll get a lot better internal results if you give people the ability to succeed."
"1.0","""If happiness is something you enjoy, STAY AWAY""","Former Employee - Associate Recruiter","Dallas, TX","2019-03-02","I worked at Korn Ferry full-time","Doesn't RecommendNegative OutlookDisapproves of CEO","Week off between Christmas and New Years","I could go on and on and on, however I want to summarize so people actually read before they make the biggest mistake of their life.1. Do not care about their employees in the slightest. You are a body in a seat, nothing more. I could argue you are less than that. Managers are hardly present, so employees go weeks (even MONTHS seriously) without showing up to work with no repercussion. Do you think this motivates employees to work hard? Me neither.2. If you have career goals, this is not the place for you. Cheap company. Takes advantage of new grads - offers average/below average salaries, see they are hungry to succeed, give them more responsibilities and work, and refuse to give any type of bonus or promotion. Work harder, longer hours with no incentive. For at least 2 years.3. Training is almost embarrassing. Either long and excessive or there isn't any. They train you on things that are common sense (my group was scolded for falling asleep during training several times). We were a group of young, intelligent employees - never once did they stop and think their content was irrelevant. Once we were actually assigned our real life work, we were swimming with the sharks with no direction. But thank goodness I knew the definition of integrity!4. Business model. There is no doubt in my mind that the executives at this company are brilliant, hard working people. That is what inspired me. I quickly realized that the executives would have little influence to me as a recruiter. What matters is management - and boy do they need help. Executives know the company and they know how to sell our business. They can SELL. The problem is they are so disconnected from the actual recruiters that they oversell and we cannot deliver. What does this mean for you as a recruiter? It means unreasonable goals and expectations and it means very unpleasant relationships with the client. Enjoy!5. The energy in this office is pitiful. Everyone is unhappy with the company, but they are afraid to speak up because of the risk of losing their job. That in itself should tell you something. No room for career movement. If you are unhappy, suck it up or leave the company. You are disposable.6. I even had issues after leaving the company. When trying to get into contact with the benefits department, I was transferred 4 TIMES in one call and then sent to voicemail. When I called back twice, no one could help me so the woman took down my information to have someone call me back. No one ever called me back. Talk about unprofessional.Since leaving this company, I have been so much happier. I have more energy. I feel more calm. I get better sleep. Please think twice before accepting a position here.","Listen to your employees. Support them. Build a professional relationship with them. Care about their success or lack there of."
"3.0","""A bit disjointed""","Former Employee - Anonymous Employee","","2019-02-09","I worked at Korn Ferry full-time","","They have excellent, highly motivated people","Competitive to advance into bigger clients or roles",""
"1.0","""Would Not Recommend""","Former Employee - Associate Recruiter","Dallas, TX","2019-02-20","I worked at Korn Ferry full-time (More than a year)","Doesn't RecommendNegative OutlookDisapproves of CEO","A lot of really hard workers looking to grow, with no where to go!They provide plenty of days off, which is really nice.","This company likes to lie and tell you, you will be promoted with no where to go.They take advantage of young talent, burn them out, and they leave and move on to bigger and better companies. I would love to see the companies retention rate. They continually lie and make excuses as to why they cannot give raises. Going through the Talent Academy, they promise a bright future with endless opportunities, but they do not practice what they preach.The management...it is CLEAR as day that they place people in roles that have no business being there.The culture is very toxic and catty. It is all about who you know.","Practice what you preach."
"4.0","""Good position""","Current Employee - Talent Acquisition Specialist","Portsmouth, NH","2019-01-17","I have been working at Korn Ferry full-time (Less than a year)","RecommendsPositive OutlookNo opinion of CEO","I thoroughly enjoy what I am doing and the people I work with.","There is very high turnover, so there is lots of teaching new employees over and over.","Look at your own policies and procedures and make sure your own employees are as happy as the companies you work for."
"5.0","""MC""","Current Employee - Anonymous Employee","","2019-01-01","I have been working at Korn Ferry full-time","RecommendsApproves of CEO","Wonderful amount of time off, great pay, awesome office atmosphere.","I can't think of any cons.",""
