Score,Level,Mean1,SD1,Mean2,SD2,Mean3,SD3
Adaptability,1,0.567758462,0.721980258,0.779773992,0.578673735,0.8164,0.5865
Adaptability,2,0.567758462,0.721980258,0.779773992,0.578673735,0.8164,0.5865
Adaptability,3,NA,NA,NA,NA,0.8023,0.6032
Adaptability,4,0.37478727,0.763945778,0.801056186,0.591042805,0.7535,0.5999
Adaptability,5,NA,NA,NA,NA,0.6946,0.6377
Adaptability,6,NA,NA,NA,NA,0.6355,0.6599
Adaptability,7,NA,NA,NA,NA,0.5980,0.6650
Adaptability,8,NA,NA,NA,NA,0.5980,0.6650
Adaptability,9,NA,NA,NA,NA,0.6230,0.7002
Advancement Drive,1,0.4669,1.83757,2.343386029,1.499508184,2.2993,1.5648
Advancement Drive,2,0.4669,1.83757,2.343386029,1.499508184,2.2993,1.5648
Advancement Drive,3,0.4669,1.83757,2.183117787,1.607581935,2.0312,1.6083
Advancement Drive,4,0.2953,1.81454,2.201960892,1.595910671,2.0244,1.6568
Advancement Drive,5,-0.1355,1.8965,1.922645313,1.743799555,1.7190,1.7448
Advancement Drive,6,-0.1355,1.8965,1.739039891,1.655055014,1.5828,1.7614
Advancement Drive,7,-0.3692,1.70305,1.64552104,1.781555078,1.4888,1.8314
Advancement Drive,8,-0.3692,1.70305,1.64552104,1.781555078,1.4888,1.8314
Advancement Drive,9,-1.1989,1.91104,0.970987534,2.308958974,1.3706,2.0208
Affiliation,1,0.496679958,0.750777441,1.155686504,0.5727921,1.2068,0.5763
Affiliation,2,0.496679958,0.750777441,1.155686504,0.5727921,1.2068,0.5763
Affiliation,3,NA,NA,NA,NA,1.1679,0.5875
Affiliation,4,0.505745797,0.756958713,1.166175313,0.588629634,1.1727,0.5838
Affiliation,5,NA,NA,NA,NA,1.1217,0.6027
Affiliation,6,NA,NA,NA,NA,1.1038,0.6144
Affiliation,7,NA,NA,NA,NA,1.0388,0.6484
Affiliation,8,NA,NA,NA,NA,1.0388,0.6484
Affiliation,9,NA,NA,NA,NA,0.9597,0.6991
Assertiveness,1,0.7986,0.7458,1.128523145,0.544546726,1.1172,0.5415
Assertiveness,2,0.7986,0.7458,1.128523145,0.544546726,1.1172,0.5415
Assertiveness,3,0.7986,0.7458,1.040823749,0.550429438,1.0446,0.5577
Assertiveness,4,0.7548,0.7405,1.044405175,0.563422942,1.0429,0.5637
Assertiveness,5,0.6277,0.7783,0.943888739,0.598382211,0.9358,0.5933
Assertiveness,6,0.6277,0.7783,0.933115103,0.607866516,0.9188,0.6160
Assertiveness,7,0.4337,0.7608,0.828980656,0.665074144,0.8328,0.6594
Assertiveness,8,0.4337,0.7608,0.828980656,0.665074144,0.8328,0.6594
Assertiveness,9,0.01,0.9499,0.596619901,0.732691564,0.7124,0.7311
